Municipio;tipo_geografia
Belén De Umbría;rural
Turbaná;rural
Corrales;rural
Guática;rural
Balboa;rural
Bugalagrande;rural
Obando;rural
Ansermanuevo;rural
Trinidad;rural
Guaico;rural
Guaduas;rural
San Vicente Del Caguán;rural
Tota;rural
Uramita;rural
Chíquiza;rural
Marquetalia;rural
Aguazul;rural
Simití;rural
Honda;rural
La Victoria;rural
La Gloria;rural
Mitú;rural
Monguí;rural
Santiago De Tolú;rural
San Miguel De Sema;rural
Sutatenza;rural
Yavaraté;rural
Betéitiva;rural
Chinavita;rural
La Uvita;rural
Ciénaga De Oro;rural
Rivera;rural
Manatí;rural
San José;rural
Cicuco;rural
Nemocón;rural
Santa Rosa;rural
Fresno;rural
Vianí;rural
Usiacurí;rural
Soplaviento;rural
Belén De Bajirá;Urbano
La Jagua De Ibirico;Urbano
Villa De San Diego De Ubaté;Urbano
Chinchiná;Urbano
Sibaté;Urbano
Manaure;Urbano
Santander De Quilichao;Urbano
Ponedera;Urbano
Unguía;Urbano
Tubará;Urbano
Cómbita;Urbano
Floresta;Urbano
Corinto;Urbano
Palmar De Varela;Urbano
Cumbal;Urbano
Mahates;Urbano
Icononzo;Urbano
San José De Miranda;Urbano
El Carmen De Bolívar;rural
Toledo;rural
Riosucio;rural
Becerril;rural
Puerto Salgar;rural
Acandí;rural
Cajibío;rural
Rosas;rural
Filadelfia;rural
Cachipay;rural
El Carmen;rural
Unión Panamericana;rural
Uribia;rural
El Carmen De Chucurí;rural
Guadalajara De Buga;rural
Apía;rural
Mompós;rural
Caracolí;rural
Ovejas;rural
Chibolo;rural
Marmato;rural
Zona Bananera;rural
Pailitas;rural
Puerto Nariño;rural
San Martín;rural
San Pablo Sur;rural
Ricaurte;rural
Chinú;rural
Chivatá;rural
Saboyá;rural
Oicatá;rural
Siachoque;rural
Calamar;rural
Tibasosa;rural
Cravo Norte;rural
Tibaná;rural
Iza;rural
Piendamó - Tunía;rural
Salamina;rural
Supía;rural
Caldono;rural
Jamundí;rural
Corozal;rural
La Paz;rural
Santuario;rural
Gachancipá;rural
Tadó;rural
Supatá;rural
Puerto Rico;rural
Tasco;rural
Caloto;rural
Ventaquemada;rural
Pelaya;rural
Tuluá;rural
Pradera;rural
Milán;rural
Lejanías;rural
Sáchica;rural
Muzo;rural
San Luis De Gaceno;rural
El Copey;rural
Uribe;rural
Villa De Leyva;rural
Repelón;rural
Pauna;rural
San Pelayo;rural
Suárez;rural
Palestina;rural
Patía;rural
Agustín Codazzi;rural
Almaguer;rural
Ocaña;rural
Canalete;rural
Medina;rural
Lenguazaque;rural
Gama;rural
Coveñas;rural
Cáqueza;rural
Tausa;rural
Tocaima;rural
Momil;rural
Cucunubá;rural
Guaranda;rural
Sitionuevo;rural
Manaure Balcón Del Cesar;rural
Íquira;rural
Sevilla;rural
Calima;rural
Tello;rural
Quinchía;rural
El Zulia;rural
Cogua;rural
Venadillo;rural
Suaza;rural
Fúquene;rural
Suaita;rural
Puerto Escondido;rural
Dagua;rural
Gámbita;rural
Caimito;rural
Galeras;rural
Sampués;rural
Pamplona;rural
Plato;rural
Pital;rural
San Andrés De Tumaco;rural
Cajamarca;rural
San Sebastián De Mariquita;rural
Dolores;rural
Rioblanco;rural
Rovira;rural
Ubaque;rural
Tolú Viejo;rural
San Alberto;rural
Guaca;rural
Viotá;rural
Nunchía;rural
Riofrío;rural
Recetor;rural
El Playón;rural
Chimá;rural
Flandes;rural
Villavieja;rural
Albán;rural
Policarpa;rural
Buesaco;rural
Tutazá;rural
Victoria;rural
Armero;rural
Macanal;rural
Socorro;rural
Majagual;rural
Mongua;rural
Turmequé;rural
Pueblo Rico;rural
Sora;rural
Guacamayas;rural
Orocué;rural
Paz De Río;rural
San Pablo;rural
Ábrego;rural
Cumbal;rural
Cabrera;rural
Pachavita;rural
Toro;rural
Nilo;rural
Une;rural
Ubalá;rural
Vijes;rural
Socha;rural
Úmbita;rural
Casabianca;rural
Arcabuco;rural
San Antero;rural
Puente Nacional;rural
Tópaga;rural
Linares;rural
Guayabetal;rural
Maripí;rural
Carmen Del Darién;rural
Arenal;rural
Túquerres;rural
Nátaga;rural
San Pablo De Borbur;rural
Zetaquira;rural
San José De Uré;rural
Cartagena Del Chairá;rural
Chita;rural
Nuquí;rural
Pasca;rural
Durania;rural
Taraira;rural
El Tambo;rural
Líbano;rural
Fosca;rural
Bojayá;rural
Cotorra;rural
Urumita;rural
Coromoro;rural
Onzaga;rural
Cerrito;rural
Mogotes;rural
Choachí;rural
Falan;rural
Ortega;rural
Palocabildo;rural
San Jacinto;rural
Jerusalén;rural
Campo De La Cruz;rural
Ragonvalia;rural
Pulí;rural
Cértegui;rural
Guamo;rural
Ancuyá;rural
Moñitos;rural
Campoalegre;rural
